ID,URL,NAME,ADDRESS,CITY,SCHOOL_TYPE,LEVEL_CODE
fd742ae0-c0de-4d8a-89cc-36847dbd3151,https://educationdestinationasia.com/school/garden-international-school,Garden International School,"Kuala Lumpur City, Kuala Lumpur | Kuala Lumpur, Malaysia",Kuala Lumpur City,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
beeb122b-c180-4e8a-a0cc-65627cc32d03,https://educationdestinationasia.com/school/kis-international-school,KIS International School Bangkok,Bangkok | Thailand,Bangkok | Thailand,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
94d72788-b186-4529-b75d-63d0f7c46df9,https://educationdestinationasia.com/school/furen-international-school,Furen International School,Singapore,Singapore,"Secondary Schools, Pre-University","s, pu"
40bd7d4e-7f1a-4407-923f-135615dbf11f,https://educationdestinationasia.com/school/british-international-school-of-kuala-lumpur,The British International School of Kuala Lumpur,"Petaling Jaya, Selangor",Petaling Jaya,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
a8c582a6-18b6-4b5c-9563-506b1e6aa491,https://educationdestinationasia.com/school/wesley-international-schools,Wesley Methodist Schools (International & Private),"Kuala Lumpur City, Kuala Lumpur | Ipoh, Perak | George Town, Pulau Pinang | Sungai Buloh, Selangor | Klang, Selangor | Seremban, Negeri Sembilan",Kuala Lumpur City,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
319e36fa-6b33-47fd-9619-4001e881afe6,https://educationdestinationasia.com/school/r-e-a-l-schools-permas-jaya-campus,"R.E.A.L Schools, Permas Jaya Campus","Johor Bahru, Johor",Johor Bahru,,
c156d19b-861c-4a40-af50-2777e9380d44,https://educationdestinationasia.com/school/epsom-college-malaysia,Epsom College in Malaysia,"Bandar Enstek, Negeri Sembilan",Bandar Enstek,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
e6f13430-0414-482b-bd9e-d8853b8887a2,https://educationdestinationasia.com/school/astor-international-school,Astor International School,Singapore,Singapore,"Preschool/Kindergarten, Primary Schools","k, p"
8a76a835-f3c8-4d98-9e29-98dfc3d47d67,https://educationdestinationasia.com/school/repton-international-school,Repton International School,"Johor Bahru, Johor",Johor Bahru,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
03adcd99-1925-46d9-be5f-389c926563fd,https://educationdestinationasia.com/school/international-islamic-school-malaysia,International Islamic School Malaysia (IISM),"Kuala Lumpur City, Kuala Lumpur | Kuantan, Pahang",Kuala Lumpur City,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
68b86d62-3007-4153-9a0d-8b3b6d890d75,https://educationdestinationasia.com/school/marlborough-college-malaysia,Marlborough College Malaysia (MCM),"Iskandar Puteri, Johor",Iskandar Puteri,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
2213f0b1-f82a-4578-858a-f38d8825f8e4,https://educationdestinationasia.com/school/nord-anglia-international-school-al-khor,Nord Anglia International School Al Khor,Qatar,Qatar,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
5f121cf1-f156-4b28-97a2-2545882d7692,https://educationdestinationasia.com/school/australian-international-school-malaysia,Australian International School Malaysia (AISM),"Seri Kembangan, Selangor",Seri Kembangan,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
a882cf23-6f47-42d9-aeeb-967540f16bcd,https://educationdestinationasia.com/school/spectrum-international-school,Spectrum International School,"Kuala Lumpur City, Kuala Lumpur | Putrajaya, Malaysia",Kuala Lumpur City,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
bb0f8309-fc54-4510-b34e-a1f948111101,https://educationdestinationasia.com/school/r-e-a-l-schools-international-and-national,R.E.A.L Schools (International and National),"Cheras, Selangor | Shah Alam, Selangor | Johor Bahru, Johor",Cheras,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
5647ca16-6e51-4b70-8d40-f63e8907e988,https://educationdestinationasia.com/school/stonyhurst-international-school-penang,Stonyhurst International School Penang,"George Town, Pulau Pinang",George Town,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
4aaad9a5-aeb8-402c-a2de-037381342c9e,https://educationdestinationasia.com/school/charis-international-school,Charis International School,"Tawau, Sabah",Tawau,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
6ebe412e-9c63-412d-84e6-e6830b3388cc,https://educationdestinationasia.com/school/qsi-international-school-of-dongguan,QSI International School of Dongguan,China,China,,
5fd5738e-6cb4-4f8d-b094-6327e5a50220,https://educationdestinationasia.com/school/the-british-school-yangon,The British School Yangon,Myanmar,Myanmar,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
ca71b38b-2fb4-45dd-8068-4309731c0c96,https://educationdestinationasia.com/school/gregg-international-school,Gregg International School,Tokyo,Tokyo,"Preschool/Kindergarten, Primary Schools","k, p"
431508c4-de82-4630-9c55-89be65d20edb,https://educationdestinationasia.com/school/beaconhouse-yamsaard-international-school-4,Beaconhouse Yamsaard International School (BYS Ladprao),Bangkok,Bangkok,,
52615bf1-9d6c-48ce-b992-afb187757dcd,https://educationdestinationasia.com/school/united-school-international,United School International,Qatar,Qatar,"Primary Schools, Secondary Schools, Preschool/Kindergarten","p, s, k"
